product_id,time_id,customer_id,promotion_id,store_id,store_sales,store_cost,unit_sales
173,748,2094,54,1,4.2900,1.8447,3.0000
1119,748,2094,54,1,9.5100,3.5187,3.0000
1242,748,2094,54,1,7.9200,2.8512,4.0000
460,748,2094,54,1,6.4400,2.7048,4.0000
104,748,2094,54,1,11.6700,3.9678,3.0000
27,748,2094,54,1,7.9500,3.8160,3.0000
67,748,1277,54,1,7.4400,2.9016,4.0000
217,748,1277,54,1,2.7200,0.8432,4.0000
666,748,1745,54,1,2.6700,1.3350,3.0000
1122,748,1745,54,1,2.2200,0.7770,3.0000
899,748,1745,54,1,5.7600,2.7072,3.0000
423,748,1745,54,1,4.4100,1.7640,3.0000
1438,748,1745,54,1,2.7400,1.0686,2.0000
145,748,1745,54,1,9.0800,4.0860,4.0000
760,748,1745,54,1,7.4800,2.3188,4.0000
57,748,1745,54,1,3.0500,1.3420,5.0000
960,748,2312,54,1,8.6000,3.8700,4.0000
517,748,8943,54,1,10.2000,3.3660,3.0000
787,748,8943,54,1,2.9800,1.2218,2.0000
804,748,8943,54,1,6.6300,1.9890,3.0000
754,748,8943,54,1,5.1400,2.4158,2.0000
904,748,8943,54,1,6.0000,2.6400,4.0000
41,748,8943,54,1,2.6700,0.8544,3.0000
82,748,1447,54,1,5.4000,2.2680,2.0000
924,748,1447,54,1,8.1000,3.4020,3.0000
1513,748,1447,54,1,7.6000,2.5840,4.0000
211,748,1447,54,1,10.8800,5.0048,4.0000
933,748,1447,54,1,10.1400,4.6644,3.0000
1470,748,1447,54,1,9.6400,2.9884,4.0000
979,748,1447,54,1,7.5600,2.8728,2.0000
242,748,5933,54,1,7.7700,2.8749,3.0000
446,748,5933,54,1,11.2500,4.0500,3.0000
663,748,5933,54,1,5.2800,1.8480,3.0000
1158,748,5933,54,1,2.6400,1.0824,2.0000
1554,748,5833,54,1,7.6200,2.9718,3.0000
938,748,2433,54,1,3.2200,1.5778,2.0000
316,748,2433,54,1,2.6200,1.1004,2.0000
1038,748,2433,54,1,2.2200,0.8880,3.0000
129,748,4350,54,1,6.2000,2.0460,4.0000
1031,748,5624,54,1,3.6300,1.2705,3.0000
449,748,5624,54,1,7.3800,2.2878,2.0000
638,748,5624,54,1,9.4500,3.1185,3.0000
1214,748,5624,54,1,2.6400,0.9504,2.0000
266,748,2094,54,1,4.8600,1.8954,3.0000
1187,748,2094,54,1,6.6000,2.0460,3.0000
711,748,2094,54,1,11.5600,5.7800,4.0000
582,748,2094,54,1,11.4000,5.7000,3.0000
239,748,2094,54,1,6.6300,2.3868,3.0000
715,748,2467,54,1,4.6500,1.8135,3.0000
1397,748,2467,54,1,5.7200,2.0020,4.0000
592,748,2467,54,1,7.4400,2.8272,3.0000
1328,748,2467,54,1,6.7800,3.1866,3.0000
1505,748,2467,54,1,11.0000,4.6200,4.0000
436,748,3523,54,1,6.1200,2.6316,4.0000
652,748,3523,54,1,5.0100,1.6533,3.0000
3,748,3523,54,1,2.4900,1.2201,3.0000
392,748,3523,54,1,5.2000,1.6120,4.0000
696,748,7231,54,1,2.1600,0.8424,3.0000
286,748,7231,54,1,4.2600,1.7466,3.0000
1101,748,7231,54,1,7.8600,3.4584,3.0000
213,748,7231,54,1,1.6800,0.5544,3.0000
176,748,7231,54,1,6.8100,3.3369,3.0000
1018,748,7231,54,1,2.7900,0.8649,3.0000
163,748,1554,54,1,7.1400,2.9274,3.0000
326,748,1554,54,1,7.4100,3.1863,3.0000
666,748,1554,54,1,3.5600,1.1036,4.0000
350,748,1554,54,1,4.8900,1.9560,3.0000
1298,748,1554,54,1,5.3600,1.9296,4.0000
11,748,1554,54,1,10.5300,3.4749,3.0000
872,748,6369,54,1,5.0400,2.0160,2.0000
17,748,704,54,1,8.9700,3.1395,3.0000
739,748,704,54,1,4.7600,1.7136,2.0000
1275,748,704,54,1,3.5100,1.6497,3.0000
493,748,704,54,1,5.2800,2.1120,2.0000
676,748,9887,54,1,6.5800,2.0398,2.0000
733,748,9887,54,1,7.8000,2.4960,4.0000
150,748,9887,54,1,17.2500,6.0375,5.0000
339,748,9887,54,1,4.2000,1.5960,3.0000
916,748,9887,54,1,10.2800,3.5980,4.0000
1159,748,9887,54,1,7.5600,2.3436,2.0000
843,748,9887,54,1,8.8200,2.9988,3.0000
724,748,9425,54,1,14.7000,6.1740,5.0000
979,748,9425,54,1,15.1200,4.5360,4.0000
1356,748,9425,54,1,4.8000,1.9680,3.0000
1519,748,9425,54,1,3.2400,1.1988,4.0000
549,748,9425,54,1,8.4000,2.7720,5.0000
1485,748,9425,54,1,3.0000,1.2600,2.0000
649,748,9425,54,1,7.6500,2.3715,3.0000
1186,748,9425,54,1,3.3600,1.5792,2.0000
680,748,3958,54,1,5.8800,2.0580,4.0000
1483,748,3958,54,1,6.3900,2.1726,3.0000
1046,748,3958,54,1,3.3200,1.0956,2.0000
1529,748,3958,54,1,13.0800,4.3164,4.0000
81,748,3958,54,1,6.3900,2.8755,3.0000
164,748,3958,54,1,11.8800,4.3956,4.0000
1472,748,3958,54,1,6.6000,2.4420,3.0000
204,748,4531,54,1,6.4000,3.0080,4.0000
940,748,4531,54,1,8.5200,3.9192,3.0000
1117,748,4531,54,1,14.5600,6.6976,4.0000
1000,748,4531,54,1,5.3800,2.0982,2.0000
1350,748,4531,54,1,2.7600,0.8832,3.0000
1445,748,4531,54,1,2.2200,0.6882,3.0000
754,748,6048,54,1,7.7100,2.8527,3.0000
504,748,6048,54,1,5.5200,2.3736,3.0000
1253,748,6048,54,1,5.1300,1.7955,3.0000
151,748,6048,54,1,11.6400,5.7036,4.0000
694,748,7976,54,1,8.8500,3.4515,3.0000
271,748,7976,54,1,9.4800,3.0336,4.0000
1293,748,8544,54,1,5.7600,2.7648,4.0000
1176,748,8544,54,1,6.8400,2.3256,4.0000
1526,748,8544,54,1,8.2500,3.7125,5.0000
477,748,8544,54,1,3.4400,1.3072,4.0000
920,748,8544,54,1,1.4600,0.5402,2.0000
5,748,8544,54,1,8.7600,3.7668,4.0000
1193,748,8544,54,1,1.7800,0.8722,2.0000
1476,748,8544,54,1,6.7800,2.8476,3.0000
1393,748,3168,54,1,7.4000,2.6640,4.0000
974,748,3168,54,1,2.3700,1.1139,3.0000
1377,748,3168,54,1,8.4900,2.8866,3.0000
581,748,3168,54,1,8.5200,2.8116,3.0000
585,748,3168,54,1,8.7200,2.7904,4.0000
1400,748,3168,54,1,2.5800,1.1352,3.0000
98,748,3168,54,1,5.4900,1.7019,3.0000
475,748,3168,54,1,7.8300,3.8367,3.0000
1323,748,7734,54,1,8.8200,4.2336,3.0000
1473,748,7734,54,1,7.0800,2.6904,3.0000
1024,748,7734,54,1,15.8000,5.2140,4.0000
1228,748,7734,54,1,6.5700,2.2995,3.0000
1444,748,7734,54,1,7.0400,3.0976,4.0000
381,748,7734,54,1,6.9900,2.3067,3.0000
1184,748,7734,54,1,8.5200,4.1748,3.0000
1407,748,2634,54,1,1.8900,0.7938,3.0000
